pl_name,hostname,pl_bmasse,pl_rade,pl_orbper,discoverymethod,disc_year,st_teff,st_rad
OGLE2-TR-L9 b,OGLE2-TR-L9,1430.175,18.046,2.4855335,Transit,2008,6933.0,1.53
Kepler-694 b,Kepler-694,8.25,2.8,6.365841612,Transit,2016,5700.0,0.95
Kepler-150 d,Kepler-150,8.2,2.79,12.56093,Transit,2014,5560.0,0.939
Kepler-1994 b,Kepler-1994,0.087,0.51,4.61225043,Transit,2023,5495.0,0.961
K2-396 b,K2-396,3.12,1.579,0.673862,Transit,2022,5236.0,0.92
HD 10442 b,HD 10442,472.61321,13.6,1032.3,Radial Velocity,2014,4912.0,1.97
Kepler-148 c,Kepler-148,12.6,3.6,4.180043,Transit,2014,5272.0,0.851
HATS-32 b,HATS-32,292.4036,14.000041,2.8126548,Transit,2016,5700.0,1.097
Kepler-547 b,Kepler-547,15.1,4.0,6.010384289,Transit,2016,4828.0,0.73
V2376 Ori b,V2376 Ori,6356.56814,87.20586985,,Imaging,2025,,
WASP-38 b,WASP-38,1093.3352,13.78707,6.87188,Transit,2010,6180.0,1.52
Kepler-1488 c,Kepler-1488,3.37,1.65156749,6.158269882,Transit,2021,5710.0,1.524
Kepler-124 c,Kepler-124,3.71,1.75,13.821375,Transit,2014,4984.0,0.636
Kepler-198 c,Kepler-198,6.66,2.47,49.567416,Transit,2014,5574.0,0.94
Kepler-129 b,Kepler-129,20.0,2.4,15.79,Transit,2014,5770.0,1.653
LHS 1903 c,LHS 1903,4.55,2.046,6.226185,Transit,2026,3664.0,0.539
HAT-P-57 b,HAT-P-57,448.1403,19.50366,2.4653,Transit,2015,6330.0,1.85
Kepler-446 b,Kepler-446,2.86,1.5,1.565409,Transit,2015,3359.0,0.24
HD 8326 b,HD 8326,66.6,9.58,158.991,Radial Velocity,2019,4914.0,0.783181
K2-216 b,K2-216,8.0,1.75,2.1748,Transit,2018,4503.0,0.72
Kepler-167 d,Kepler-167,2.06,1.238,21.80379,Transit,2016,4884.0,0.749
Kepler-1549 b,Kepler-1549,7.13,2.57,214.886545,Transit,2016,5324.0,0.84
Kepler-1198 b,Kepler-1198,2.76,1.47,7.6847716,Transit,2016,5517.0,0.9
HD 143811 AB b,HD 143811 A,1938.7532827,15.69257298,117000.0,Imaging,2025,6791.0,1.68398
WASP-104 b,WASP-104,404.263,12.745,1.7554137,Transit,2014,5475.0,0.963
51 Peg b,51 Peg,193.87532827,14.1,4.2307966,Radial Velocity,1995,5761.0,1.19
TOI-1801 b,TOI-1801,5.738,2.079,10.64387,Transit,2023,3863.0,0.547
TOI-762 A b,TOI-762 A,79.77493016,8.33948164,3.4716826,Transit,2024,3266.0,0.425
TOI-5335 b,TOI-5335,15.3,4.02422162,3.61365988443,Transit,2026,5528.92,0.916633
K2-187 e,K2-187,4.27,1.9,13.606629,Transit,2018,5438.0,0.83
Kepler-1086 c,Kepler-1086,8.96,2.94,161.5163345,Transit,2016,4350.0,0.66
K2-32 e,K2-32,2.1,1.212,4.34934,Transit,2019,5271.0,0.86
Kepler-1800 b,Kepler-1800,0.961,0.99679734,4.562029839,Transit,2021,5343.0,2.506
55 Cnc B c,55 Cnc B,5.3,2.16,33.747,Radial Velocity,2025,3286.0,0.274
Kepler-78 b,Kepler-78,1.68,1.201,0.35500745,Transit,2013,5058.0,0.7475
Kepler-1944 b,Kepler-1944,8.05,2.75971163,9.842579842,Transit,2021,5585.0,0.972
TOI-1742 b,TOI-1742,9.7,2.36507598,21.269084,Transit,2024,5815.0,1.131
K2-105 b,K2-105,15.4,3.4,8.26726,Transit,2017,5373.0,0.905
BD+45 564 b,BD+45 564,432.24663352,13.6,307.88,Radial Velocity,2021,5004.0,0.813064
WASP-60 b,WASP-60,174.8065,9.86392,4.305,Transit,2012,5900.0,1.17
HD 11343 c,HIP 8541,255.53403923,13.9,228.53731,Radial Velocity,2022,4672.0,6.84
Kepler-1762 b,Kepler-1762,8.05,2.76022913,29.53910065,Transit,2021,6572.0,1.238
HD 102329 c,HD 102329,483.1016,13.5,1123.0,Radial Velocity,2016,4830.0,6.3
HD 7449 b,HD 7449,2597.92939882,12.6,1270.55195,Radial Velocity,2011,6024.0,0.97
HD 197037 b,HD 197037,251.0,13.9,1035.7,Radial Velocity,2012,6150.0,1.105
K2-270 b,K2-270,2.48,1.38,1.543069,Transit,2018,4877.0,0.77
Kepler-1529 b,Kepler-1529,5.06,2.1,5.33905686,Transit,2016,5048.0,0.77
Kepler-98 b,Kepler-98,3.55,1.99,1.54168,Transit,2014,5539.0,1.11
HD 140901 b,HD 140901,15.57359194,4.07,9.02378,Radial Velocity,2022,5610.0,0.95
Pr0201 b,Pr0201,171.6282,14.2,4.4264,Radial Velocity,2012,6174.0,1.15
WASP-6 b,WASP-6,148.42586607,12.5428494,3.3610026,Transit,2009,5438.0,0.79
WASP-189 b,WASP-189,632.47852993,18.14733975,2.724033,Transit,2020,8000.0,2.36
